VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
7SAYGAEE4N,King,Renton,WA,98056,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,41,200525237,POINT (-122.18839 47.51197),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025304
WA1H2BFZ5N,King,Bothell,WA,98011,2022,AUDI,Q4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,240092408,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021803
7SAYGDEE2S,Spokane,Medical Lake,WA,99022,2025,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,6,275907621,POINT (-117.68269 47.57261),BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY,53063013900
5YJ3E1EB7J,King,Seattle,WA,98107,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,36,273521069,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004702
1N4BZ1CV4N,King,Issaquah,WA,98027,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,5,182595850,POINT (-122.03439 47.5301),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032102
KMHC75LD3K,Whatcom,Bellingham,WA,98225,2019,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,42,2209518,POINT (-122.47091 48.75256),PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY,53073000501
2C4RC1L75M,Lewis,Vader,WA,98593,2021,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,20,152518208,POINT (-122.95015 46.40201),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PUD NO 1 OF LEWIS COUNTY,53041971600
WBY33AW01N,Snohomish,Mill Creek,WA,98012,2022,BMW,I4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,44,206989702,POINT (-122.20105 47.84423),PUGET SOUND ENERGY INC,53061052004
7SAYGAEE5R,Clark,Vancouver,WA,98684,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,17,276342769,POINT (-122.48723 45.63701),BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA),53011041336
5YJSA1H21F,Pierce,Tacoma,WA,98404,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,27,261158929,POINT (-122.41249 47.21584),BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY,53053063301
YV4EK3ZL5S,King,Seattle,WA,98112,2025,VOLVO,EX30,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,43,288406940,POINT (-122.30207 47.64085),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033006500
1G1RA6S52J,Snohomish,Mukilteo,WA,98275,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,21,286123302,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061041301
7SAYGDEF0N,Kitsap,Poulsbo,WA,98370,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,192921725,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
